location_id;region_id;type_id;is_buy_order;has_gone;scanDate;amount;high;low;avg;orderNum;iskValue
60000598;10000016;9608;0;0;2025-07-29;2;63570.00;63570.00;63570.00;1;127140
60000607;10000016;605;0;0;2025-07-29;1;675000.00;675000.00;675000.00;1;675000
60000610;10000033;649;0;0;2025-07-29;1;4999000.00;4999000.00;4999000.00;1;4999000
60000640;10000033;377;0;0;2025-07-29;1;22000.00;22000.00;22000.00;1;22000
60000640;10000033;399;0;0;2025-07-29;1;30000.00;30000.00;30000.00;1;30000
60000640;10000033;605;0;0;2025-07-29;1;615000.00;615000.00;615000.00;1;615000
60000640;10000033;1244;0;0;2025-07-29;4;50000.00;50000.00;50000.00;1;200000
60000640;10000033;1317;0;0;2025-07-29;3;15000.00;15000.00;15000.00;1;45000
60000640;10000033;3829;0;0;2025-07-29;1;46000.00;46000.00;46000.00;1;46000
60000640;10000033;5239;0;0;2025-07-29;8;18000.00;18000.00;18000.00;1;144000
60000640;10000033;5245;0;0;2025-07-29;4;8000.00;8000.00;8000.00;1;32000
60000640;10000033;6003;0;0;2025-07-29;1;20000.00;20000.00;20000.00;1;20000
60000640;10000033;11129;0;0;2025-07-29;5;18000.00;18000.00;15000.00;3;90000
60000640;10000033;12052;0;0;2025-07-29;1;320000.00;320000.00;320000.00;1;320000
60000640;10000033;18639;0;0;2025-07-29;2;70000.00;70000.00;70000.00;1;140000
60000640;10000033;22175;0;0;2025-07-29;1;98000.00;98000.00;98000.00;1;98000
60000640;10000033;25588;1;0;2025-07-29;36;2875.00;2875.00;2875.00;1;103500
60000640;10000033;25589;1;0;2025-07-29;108;440.00;440.00;235.25;2;47520
60000640;10000033;25590;1;0;2025-07-29;52;60200.00;60200.00;30392.23;2;3130400
60000640;10000033;25592;1;0;2025-07-29;3;10400.00;10400.00;10400.00;1;31200
60000640;10000033;25593;1;0;2025-07-29;1;8800.00;8800.00;8800.00;1;8800
60000640;10000033;25595;1;0;2025-07-29;1;3410.00;3410.00;3410.00;1;3410
60000640;10000033;25596;1;0;2025-07-29;13;2180.00;2180.00;2180.00;1;28340
60000640;10000033;25598;1;0;2025-07-29;255;1308.00;1308.00;683.48;2;333540
60000640;10000033;25599;1;0;2025-07-29;336;310.00;310.00;163.77;2;104160
60000640;10000033;25600;1;0;2025-07-29;278;17200.00;17200.00;9107.81;2;4781600
60000640;10000033;25601;1;0;2025-07-29;25;2080.00;2080.00;2080.00;1;52000
60000640;10000033;25603;1;0;2025-07-29;5;9400.00;9400.00;9400.00;1;47000
60000640;10000033;25605;1;0;2025-07-29;63;20150.00;20150.00;20150.00;1;1269450
60000640;10000033;25606;1;0;2025-07-29;50;23000.00;23000.00;23000.00;1;1150000
